metabolite,platform_name,super_pathway,sub_pathway,significant_fasting,significant_pat,significant_oltt,significant_fasting_pat_oltt,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,0,Fasting,4.03684,0,0.002920432494649,2.53455282795888,0
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,120,Fasting,3.06124,-0.9756,0.002920432494649,2.53455282795888,0.9756
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,240,Fasting,1.49648614166667,-2.54035385833333,0.002920432494649,2.53455282795888,2.54035385833333
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,360,Fasting,1.83353053333333,-2.20330946666667,0.002920432494649,2.53455282795888,2.20330946666667
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,480,Fasting,2.13255104166667,-1.90428895833333,0.002920432494649,2.53455282795888,1.90428895833333
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,600,Fasting,1.72698300833333,-2.30985699166667,0.002920432494649,2.53455282795888,2.30985699166667
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,720,Fasting,1.5458906,-2.4909494,0.002920432494649,2.53455282795888,2.4909494
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,840,Fasting,1.43205070833333,-2.60478929166667,0.002920432494649,2.53455282795888,2.60478929166667
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,960,Fasting,1.29713833333333,-2.73970166666667,0.002920432494649,2.53455282795888,2.73970166666667
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,0,PAT,1.61818666666667,0,0.00384581603340213,2.4150114943017,0
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,15,PAT,1.75114333333333,0.132956666666667,0.00384581603340213,2.4150114943017,0.132956666666667
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,FALSE,FALSE,TRUE,FALSE,30,PAT,1.94147023333333,0.323283566666667,0.00384581603340213,2.4150114943017,0.323283566666667
